id,status,maxEntryPerUser,nftAddress,nftId,winner,extractedNumber,raisedInWei,raisedInEther,platformPercentage,requiredNFT,totalEntries,cancellingDate
390,"ended","50","0x3e7FC44E25c07Be3d67C241E6E59cb838DF2F892","1785","0x226048F6B4DC4261C09C775A0f97D0DB69284aa0","18","209000000000000000","0.209","0","0x0000000000000000000000000000000000000000","20","fine non impostata"
391,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","3556","0x7aC4F3d6260FdAD313B14BABf2A6a5c3aB6b155a","1","176000000000000000","0.176","0","0x0000000000000000000000000000000000000000","24","fine non impostata"
392,"ended","50","0xc2AC394984F3850027dAC95fe8A62e446c5fb786","975","0x687dA0A93Ea5aFE259F39E70D63135eb6E36874a","33","256000000000000000","0.256","0","0x0000000000000000000000000000000000000000","35","fine non impostata"
393,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","5071","0x18273CBA25390Bbdafd752cCa3C47Bb50375Be7a","20","336000000000000000","0.336","0","0x0000000000000000000000000000000000000000","48","fine non impostata"
394,"ended","50","0x6bE69b2A9B153737887CfcdCa7781eD1511C7e36","1934","0xC0CBfA97869C6d8c6a81b710a8CAfEeDE0cB2086","14","240000000000000000","0.24","0","0x0000000000000000000000000000000000000000","32","fine non impostata"
395,"ended","50","0x3e7FC44E25c07Be3d67C241E6E59cb838DF2F892","1359","0x26438880aD2F7e20101f7cc73015394Bec0bA361","14","264000000000000000","0.264","0","0x0000000000000000000000000000000000000000","26","fine non impostata"
396,"ended","50","0x5180db8F5c931aaE63c74266b211F580155ecac8","9648","0x42F211aE5461f21B004cd3234aFd6c3Df865Abea","4","152000000000000000","0.152","0","0x0000000000000000000000000000000000000000","20","fine non impostata"
397,"ended","250","0x67D9417C9C3c250f61A83C7e8658daC487B56B09","7026","0xf2142f14399Ad3C37a043d4902b560e9fc46D169","264","562000000000000000","0.562","0","0x0000000000000000000000000000000000000000","562","fine non impostata"
398,"ended","250","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","7874","0x226048F6B4DC4261C09C775A0f97D0DB69284aa0","45","345000000000000000","0.345","0","0x0000000000000000000000000000000000000000","345","fine non impostata"
399,"ended","250","0x394E3d3044fC89fCDd966D3cb35Ac0B32B0Cda91","2451","0xAdAf51F1E434C446aBc90fFdAF1c3A967e6f2ea1","1169","1770000000000000000","1.77","0","0x0000000000000000000000000000000000000000","1770","fine non impostata"
400,"ended","50","0x684E4ED51D350b4d76A3a07864dF572D24e6dC4c","5930","0xD0c76478b834d17F4ca6ae0dF4FD6EDDD5C0C6C3","21","264000000000000000","0.264","0","0x0000000000000000000000000000000000000000","35","fine non impostata"
401,"ended","50","0x684E4ED51D350b4d76A3a07864dF572D24e6dC4c","5424","0xEF1c6B4E89ed6f12A6BbFdf34227EE51a196147D","5","392000000000000000","0.392","0","0x0000000000000000000000000000000000000000","53","fine non impostata"
402,"ended","50","0x684E4ED51D350b4d76A3a07864dF572D24e6dC4c","5922","0x55f439233c0f60e668A8D8678cEd3c211F184bD8","13","272000000000000000","0.272","0","0x0000000000000000000000000000000000000000","37","fine non impostata"
403,"ended","50","0x684E4ED51D350b4d76A3a07864dF572D24e6dC4c","3267","0x4eCB4724CB56591C5977B6A05FfcA7CDb53bA4a9","9","232000000000000000","0.232","0","0x0000000000000000000000000000000000000000","31","fine non impostata"
404,"ended","50","0x684E4ED51D350b4d76A3a07864dF572D24e6dC4c","1470","0xdB6b6395B8a748Ea7e9df7AAC3a79F184A37651d","7","280000000000000000","0.28","0","0x0000000000000000000000000000000000000000","39","fine non impostata"
405,"ended","50","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","1448","0xBfddD12819ae846Ac804925E41063AF4e24cd71B","5","430000000000000000","0.43","0","0x0000000000000000000000000000000000000000","48","fine non impostata"
406,"ended","50","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","7943","0x687dA0A93Ea5aFE259F39E70D63135eb6E36874a","10","230000000000000000","0.23","0","0x0000000000000000000000000000000000000000","24","fine non impostata"
407,"ended","50","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","5216","0xA5BCD8C131e2E9e8c714ca3981a5D513433f6a67","14","260000000000000000","0.26","0","0x0000000000000000000000000000000000000000","28","fine non impostata"
408,"ended","50","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","2603","0x69676e4d4b4f0482FA2697ae2d65Bb93e2b323b0","27","380000000000000000","0.38","0","0x0000000000000000000000000000000000000000","43","fine non impostata"
409,"ended","50","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","3535","0x62541dFaf846C8C0171A1755b2C057673D88DAc7","19","380000000000000000","0.38","0","0x0000000000000000000000000000000000000000","41","fine non impostata"
410,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","460","0x687dA0A93Ea5aFE259F39E70D63135eb6E36874a","34","272000000000000000","0.272","0","0x0000000000000000000000000000000000000000","38","fine non impostata"
